institution_shortname,institution_dept,institution_name,institution_street,institution_city_or_municipal,institution_state_or_province,institution_country,institution_postal,author_list_id (leave blank for now),old_string,ldap_o
Munster,Institut für Kernphysik,Westfälische Wilhelms-Universität Münster,,Münster,,Germany,D-48149,IceCube,"Institut für Kernphysik, Westfälische Wilhelms-Universität Münster, D-48149 Münster, Germany",wwum
BartolOld,Bartol Research Institute,University of Delaware,,Newark,Delaware,USA,19716,IceCube,"Bartol Research Institute, University of Delaware, Newark, DE 19716, USA",udel
Bartol,Bartol Research Institute and Dept. of Physics and Astronomy,University of Delaware,,Newark,Delaware,USA,19716,IceCube,"Bartol Research Institute and Dept. of Physics and Astronomy, University of Delaware, Newark, DE 19716, USA",udel
Yale,Dept. of Physics,Yale University,,New Haven,Connecticut,USA,6520,IceCube,"Dept. of Physics, Yale University, New Haven, CT 06520, USA",yale
Columbia,Columbia Astrophysics and Nevis Laboratories,Columbia University,,New York,New York,USA,10027,IceCube,"Columbia Astrophysics and Nevis Laboratories, Columbia University, New York, NY 10027, USA",columbia
NotreDame,Dept. of Physics,University of Notre Dame du Lac,225 Nieuwland Science Hall,Notre Dame,Indiana,USA,46556-5670,IceCube,"Dept. of Physics, University of Notre Dame du Lac, 225 Nieuwland Science Hall, Notre Dame, IN 46556-5670, USA",notredame
Oxford,Dept. of Physics,University of Oxford,1 Keble Road,Oxford,,UK,OX1 3NP,IceCube,"Dept. of Physics, University of Oxford, 1 Keble Road, Oxford OX1 3NP, UK",oxford
Drexel,Dept. of Physics,Drexel University,3141 Chestnut Street,Philadelphia,Pennsylvania,USA,19104,IceCube,"Dept. of Physics, Drexel University, 3141 Chestnut Street, Philadelphia, PA 19104, USA",drexel
Princeton,,Institute for Advanced Study,,Princeton,New Jersey,USA,8540,IceCube,"Institute for Advanced Study, Princeton, NJ 08540, USA",ias
SouthDakota,Physics Department,South Dakota School of Mines and Technology,,Rapid City,South Dakota,USA,57701,IceCube,"Physics Department, South Dakota School of Mines and Technology, Rapid City, SD 57701, USA",sdsmt
RiverFalls,Dept. of Physics,University of Wisconsin,,River Falls,Wisconsin,USA,54022,IceCube,"Dept. of Physics, University of Wisconsin, River Falls, WI 54022, USA",uwrf
Stockholm,Dept. of Physics,Stockholm University,,Stockholm,,Sweden,SE-10691,IceCube,"Dept. of Physics, Stockholm University, SE-10691 Stockholm, Sweden",stockholm
StockholmOKC,Oskar Klein Centre and Dept. of Physics,Stockholm University,,Stockholm,,Sweden,SE-10691,IceCube,"Oskar Klein Centre and Dept. of Physics, Stockholm University, SE-10691 Stockholm, Sweden",stockholm
StonyBrook,Dept. of Physics and Astronomy,Stony Brook University,,Stony Brook,New York,USA,11794-3800,IceCube,"Dept. of Physics and Astronomy, Stony Brook University, Stony Brook, NY 11794-3800, USA",stonybrook
SKKU,Dept. of Physics,Sungkyunkwan University,,Suwon,,Korea,440-746,IceCube,"Dept. of Physics, Sungkyunkwan University, Suwon 440-746, Korea",sungkyunkwan
Tokyo,Earthquake Research Institute,University of Tokyo,,Bunkyo,,Japan,113-0032,PINGU,"Earthquake Research Institute, University of Tokyo, Bunkyo, Tokyo 113-0032, Japan",earthquake
Toronto,Dept. of Physics,University of Toronto,,Toronto,Ontario,Canada,M5S 1A7,IceCube,"Dept. of Physics, University of Toronto, Toronto, Ontario, Canada, M5S 1A7",toronto
Alabama,Dept. of Physics and Astronomy,University of Alabama,,Tuscaloosa,Alabama,USA,35487,IceCube,"Dept. of Physics and Astronomy, University of Alabama, Tuscaloosa, AL 35487, USA",ua
PennAstro,Dept. of Astronomy and Astrophysics,Pennsylvania State University,,University Park,Pennsylvania,USA,16802,IceCube,"Dept. of Astronomy and Astrophysics, Pennsylvania State University, University Park, PA 16802, USA",psu
PennPhys,Dept. of Physics,Pennsylvania State University,,University Park,Pennsylvania,USA,16802,IceCube,"Dept. of Physics, Pennsylvania State University, University Park, PA 16802, USA",psu
Rochester,Dept. of Physics,University of Rochester,,Rochester,New York,USA,14627,IceCube,"Dept. of Physics and Astronomy, University of Rochester, Rochester, NY 14627, USA",rochester
Uppsalaold,Division of High Energy Physics,Uppsala University,,Uppsala,,Sweden,S-75121,IceCube,"Division of High Energy Physics, Uppsala University, S-75121 Uppsala, Sweden",uppsala
Uppsala,Dept. of Physics and Astronomy,Uppsala University,Box 516,Uppsala,,Sweden,S-75120,IceCube,"Dept. of Physics and Astronomy, Uppsala University, Box 516, S-75120 Uppsala, Sweden",uppsala
Utrecht,Dept. of Physics and Astronomy,Utrecht University/SRON,,Utrecht,,The Netherlands,NL-3584 CC,IceCube,"Dept. of Physics and Astronomy, Utrecht University/SRON, NL-3584 CC Utrecht, The Netherlands",
Wuppertal,Dept. of Physics,University of Wuppertal,,Wuppertal,,Germany,D-42119,IceCube,"Dept. of Physics, University of Wuppertal, D-42119 Wuppertal, Germany",wuppertal
Zeuthen,,DESY,,Zeuthen,,Germany,D-15738,IceCube,"DESY, D-15738 Zeuthen, Germany",desy-zeuthen
